Tue Jan 31 14:58:14 EST 2023
| ID | GPU | MEM |
------------------
|  0 |  0% |  0% |
|  1 |  0% |  0% |
numbers of X: 33623890
numbers of Z: 20842
shape of features
(20842,)
shape of features
(20842,)
ZX	Vol	Parts	Cubes	Eps
Z	0.01900942688320141	20842	20.842	0.09697874150626114
X	0.016568942136944483	829	0.829	0.27138140312786
X	0.017072396063941637	17014	17.014	0.10011427722532766
X	0.017046769137403682	1430	1.43	0.2284381743657149
X	0.01680305963467785	3536	3.536	0.16812231859909346
X	0.017385866197038413	73354	73.354	0.061885776423058265
X	0.017090253162505713	48155	48.155	0.07080039863717008
X	0.017572936592389073	47664	47.664	0.07170530466122133
X	0.017132515342145577	41421	41.421	0.07450753290651163
X	0.016989758925986885	20112	20.112	0.0945316674992286
X	0.017119475900734482	35722	35.722	0.07825610585594868
X	0.018434587149872013	16800	16.8	0.1031433844988471
X	0.017119394037761443	46320	46.32	0.07176399586459314
X	0.01793075479282086	5534	5.534	0.14797436066275851
X	0.01714293977111865	185563	185.563	0.045206196804098986
X	0.017036291865761267	17130	17.13	0.09981731946013274
X	0.01710631379552742	27846	27.846	0.0850089277971336
X	0.017127712884822253	42193	42.193	0.07404339487541392
X	0.017104286522941055	41850	41.85	0.0742112648221239
X	0.017545775969075795	111175	111.175	0.05404080552104195
X	0.017108784122731514	113974	113.974	0.05314606552900647
X	0.01714530425470813	25426	25.426	0.08769114038058556
X	0.017547824003953105	153234	153.234	0.04856119631879859
X	0.017079780890878166	10629	10.629	0.11712869268198958
X	0.017217567400749516	12171	12.171	0.1122574509644716
X	0.01744863916932	16646	16.646	0.10158210867242812
X	0.017879269718901348	50760	50.76	0.0706224404119963
X	0.017454113088556922	61594	61.594	0.06568302194694628
X	0.017223853556980695	14152	14.152	0.10676711348703749
X	0.017972548680765397	145789	145.789	0.049769311999837744
X	0.01808455132254452	863830	863.83	0.02756088455302964
X	0.017018214522734453	10582	10.582	0.11716073266582214
X	0.017957249359941075	792996	792.996	0.028291519421305325
X	0.016896689598750625	6103	6.103	0.14041691222836689
X	0.017079231389021534	20829	20.829	0.09359801407178817
X	0.017094066513040514	35139	35.139	0.07864757395884468
X	0.018049724025847657	342389	342.389	0.037495883184581566
X	0.017643874708743023	58182	58.182	0.0671843994937573
X	0.016274578660490365	1134	1.134	0.2430145254869766
X	0.01693207560685183	2779	2.779	0.18264476017859105
X	0.016844155404940022	2671	2.671	0.1847531211152075
X	0.01681930887096579	2758	2.758	0.1826997535028621
X	0.015465326083713728	690	0.69	0.281948635344732
X	0.015981994822682085	795	0.795	0.2719075618600581
X	0.01670677020206309	1863	1.863	0.20775901680390826
X	0.017088367814804134	779	0.779	0.2799331784013424
X	0.016638034726167053	1021	1.021	0.25352770675780345
X	0.016954430360050825	1821	1.821	0.21037352580467514
X	0.01701827635745868	5869	5.869	0.14259922135240044
