Wed Feb 1 02:44:16 EST 2023
| ID | GPU | MEM |
------------------
|  0 |  0% |  0% |
|  1 |  0% |  0% |
numbers of X: 37825699
numbers of Z: 20528
shape of features
(20528,)
shape of features
(20528,)
ZX	Vol	Parts	Cubes	Eps
Z	0.01999884628246009	20528	20.528	0.0991332705499087
X	0.017671090536007066	1605	1.605	0.22246555208702845
X	0.0177857874551649	19262	19.262	0.0973771904116057
X	0.01752290755106762	1834	1.834	0.21219522791902262
X	0.017790113823892874	15446	15.446	0.10482243211592975
X	0.018733208000822895	11971	11.971	0.11609866917055398
X	0.018412097560940706	45882	45.882	0.07375989825157737
X	0.017774313309038843	36756	36.756	0.07849130133442524
X	0.01780254455232192	37218	37.218	0.07820652996090202
X	0.01762654483622493	11627	11.627	0.11487702301978034
X	0.018451769235608487	30909	30.909	0.08420108478383274
X	0.01751947267457352	8565	8.565	0.12693982275487012
X	0.017686425313644224	128716	128.716	0.05160231392328651
X	0.01818146024905376	6634	6.634	0.13994297360452498
X	0.01781237564821857	348492	348.492	0.03711159991072803
X	0.017738765130774804	21706	21.706	0.09349345193191116
X	0.01772716820752163	50233	50.233	0.07066701548932058
X	0.0177942422024905	52984	52.984	0.06950962067671596
X	0.017741971832045643	15917	15.917	0.10368443283498331
X	0.017773053125087798	128334	128.334	0.05173765844101151
X	0.018003750954609724	74966	74.966	0.06215836075723377
X	0.017728332171740278	67975	67.975	0.06389098074280847
X	0.01795959318088307	210806	210.806	0.04400187426638568
X	0.0176040749622215	8914	8.914	0.12546238136310417
X	0.018461538130995568	42263	42.263	0.07587566666642645
X	0.017411231266821342	3268	3.268	0.17465558541399082
X	0.017786379409119493	69870	69.87	0.0633770863881998
X	0.01778127725541636	61265	61.265	0.06620897105815604
X	0.017898041254126862	9686	9.686	0.12271199404279007
X	0.017581883567465692	39533	39.533	0.07633116235002389
X	0.01783189159480149	1128653	1128.653	0.025092599695982296
X	0.0173760179618003	15217	15.217	0.10452184617164254
X	0.017812621839633606	584553	584.553	0.031234506706003858
X	0.01759179512387913	28318	28.318	0.08532622402222763
X	0.017735412581635652	10447	10.447	0.11929344132269036
X	0.017603500678225144	31718	31.718	0.08217967426541352
X	0.017782701767493175	131055	131.055	0.051386383067876545
X	0.01779933776449397	76258	76.258	0.061570518535326996
X	0.017014292004426154	1356	1.356	0.23237250022580558
X	0.01749923149134875	2862	2.862	0.18285904570529607
X	0.017667630644928004	1783	1.783	0.21478749323185506
X	0.017708146585038498	2276	2.276	0.1981528319487067
X	0.01642906898324034	3428	3.428	0.16859992611450403
X	0.01747989453729088	993	0.993	0.26013364111738996
X	0.01718893621149916	3284	3.284	0.1736262093881433
X	0.01765332765702829	1046	1.046	0.25650645532325206
X	0.01769077607679671	2026	2.026	0.2059218737937829
X	0.0174639655418482	2826	2.826	0.18350880315680276
X	0.017576362290263818	3921	3.921	0.16488357093055286
X	0.017604750533020602	2462	2.462	0.19265514377599216
X	0.017706937509589904	17010	17.01	0.10134750159601282
X	0.01872907800710636	9276	9.276	0.12639169929871716
X	0.017004509472782692	1284	1.284	0.23659180353315046
X	0.01755176781315437	18289	18.289	0.0986378585523562
X	0.017183086976085872	2319	2.319	0.19495459685230726
X	0.017585112595399324	3641	3.641	0.16903429430187555
X	0.017074506272355232	7406	7.406	0.13210567737010814
X	0.017516482231919043	2015	2.015	0.20561617733496437
X	0.0174417297359013	3549	3.549	0.1700178491698889
X	0.01768590397454452	3650	3.65	0.16921731486982688
X	0.017742150545258028	2973	2.973	0.18138600832409055
X	0.0175538201428744	4074	4.074	0.16272347364490844
X	0.017196935403581914	1638	1.638	0.21896719456503191
X	0.01771464055077203	7443	7.443	0.13351440002012196
X	0.017724837766236817	8758	8.758	0.12649084951649794
X	0.017679903385726923	2952	2.952	0.18160223038317874
X	0.01757438364214885	2509	2.509	0.19133443889620294
X	0.017735673871734383	5635	5.635	0.14654958444439656
X	0.01715564252920872	5536	5.536	0.14579309949180638
X	0.017647181383350297	5519	5.519	0.14732337240989618
X	0.017670277934745127	2393	2.393	0.19473031243110533
X	0.01743774978573544	5452	5.452	0.14733690120103385
X	0.017658717751659708	3123	3.123	0.1781540611865744
X	0.017749971143377754	4073	4.073	0.16334070049611837
X	0.016707920807760825	1934	1.934	0.20518958485181818
X	0.017364302058748483	3699	3.699	0.16743940300356958
X	0.017799294439404863	7097	7.097	0.13586554254026234
X	0.017461492165485776	750	0.75	0.2855442132721422
X	0.01762170752965068	2246	2.246	0.19870680740601263
X	0.017571100698555338	3672	3.672	0.16851249094895165
X	0.01732739627457799	14489	14.489	0.10614469621671183
X	0.017107444299863987	2783	2.783	0.18318530957644139
X	0.017431500202059948	2004	2.004	0.2056580353585358
X	0.017507360266409606	3040	3.04	0.1792458165489997
X	0.01731920531541726	1893	1.893	0.2091506003779586
X	0.01651078726361055	1387	1.387	0.22833041895786577
X	0.017928886102998566	2097	2.097	0.2044803717041604
X	0.018503426152565356	3864	3.864	0.16855372100408467
X	0.017494531736264803	895	0.895	0.26937653508126463
X	0.017776268247367073	3245	3.245	0.17628226880246692
X	0.01744616566232128	3816	3.816	0.1659703622944125
X	0.01774267254949781	6449	6.449	0.14012282575966833
X	0.01728446308947559	1718	1.718	0.2158792553461824
X	0.01757419352660186	3312	3.312	0.1744194952964184
X	0.017556685600597737	2137	2.137	0.20178056632730268
X	0.017552849464579766	3257	3.257	0.17532477487044665
X	0.017555688155402285	3293	3.293	0.1746929487825775
X	0.01745459677812282	2147	2.147	0.20107554694723792
X	0.017640945900364663	4702	4.702	0.15538642721376716
X	0.017234314381569135	3549	3.549	0.16934121463768725
X	0.017619253047343613	3757	3.757	0.16738457449368901
X	0.017720792434157206	14719	14.719	0.10638203108836569
X	0.017777775069166467	5477	5.477	0.14806243544199466
X	0.017617807852063048	6384	6.384	0.14026618881805925
X	0.01693340378234934	1440	1.44	0.22740181365182702
X	0.017687603921091553	5408	5.408	0.14843766265395955
X	0.017379040205109077	3137	3.137	0.17694450888973912
X	0.017457989226635433	6292	6.292	0.14051903836808796
X	0.017323408009982902	1557	1.557	0.22324491419527137
X	0.017691451285010935	4111	4.111	0.16265671411103436
X	0.017453396113617518	1589	1.589	0.22228936371099542
X	0.0174107553888184	2385	2.385	0.19398868996722482
X	0.01721655456711184	1455	1.455	0.22787381156766814
X	0.017248106210449116	2620	2.62	0.18741889607779166
X	0.01733816803557974	2608	2.608	0.1880320468021942
X	0.01761870336417028	5444	5.444	0.14791717677020838
X	0.01730315656210183	5255	5.255	0.14877074540030977
X	0.0176968754845454	4291	4.291	0.16036614652054174
X	0.01728320390937314	939	0.939	0.264029763797816
X	0.01792278692681618	5539	5.539	0.14790790722575595
X	0.016486989445047145	1418	1.418	0.22654529293612122
X	0.01777815384637125	15271	15.271	0.1051977362471105
X	0.017717730654906616	2871	2.871	0.18342490419849178
X	0.017240169891208995	1991	1.991	0.2053478186018083
X	0.01767692050174024	2169	2.169	0.20124063803396086
X	0.017244806518152373	2085	2.085	0.2022324091700907
X	0.017210894176145335	2136	2.136	0.20047831123540188
X	0.017391297805791815	1316	1.316	0.23642425773449166
X	0.016930986869981318	3391	3.391	0.17091682935729194
X	0.0174107113962861	6480	6.48	0.13902103055392923
X	0.016683106564980617	2150	2.15	0.19797612582284
X	0.017608391628887516	8108	8.108	0.12949966638529728
X	0.017097111263184705	1511	1.511	0.22450159173962145
X	0.01684326570786422	2531	2.531	0.1880953466603442
X	0.017284646875041703	1640	1.64	0.21924963940533196
X	0.017181306162853002	3663	3.663	0.1673939481403365
X	0.017757138997293122	3036	3.036	0.18017329003276428
X	0.01750320027574601	1653	1.653	0.21959116840209786
X	0.017716530697431898	2467	2.467	0.19293151614068615
X	0.01756023904470066	2233	2.233	0.1988599077017204
X	0.0173320966125867	1335	1.335	0.23502998805213612
X	0.01751882201869087	2135	2.135	0.20169834763161573
X	0.017192600169211803	1130	1.13	0.24779224284002777
X	0.017387336830259142	10755	10.755	0.11736561646107178
X	0.01783317699970132	6466	6.466	0.14023755777184668
X	0.017916192981060005	2567	2.567	0.1911055446596794
X	0.017713530555919073	3369	3.369	0.17388737040262428
X	0.01769609148695506	2321	2.321	0.19681917398157947
X	0.01860240856624287	1663	1.663	0.22364488840804836
X	0.017172073935538917	2104	2.104	0.20133796346458643
X	0.01736181728017313	2382	2.382	0.19388809400561619
X	0.017235657937346736	2108	2.108	0.20145857296129255
X	0.01748499358653322	2247	2.247	0.19816219383719905
X	0.0173457044812944	2523	2.523	0.19014791346973217
X	0.01774566766847905	9951	9.951	0.12126678745635136
X	0.01761745143307349	2948	2.948	0.18147015127032448
X	0.017312625646949603	13886	13.886	0.10762882337056442
X	0.0177383259440712	3006	3.006	0.18070682336645588
X	0.017572172458694	3886	3.886	0.16536396876243
X	0.017707641566145283	3300	3.3	0.1750715570194384
X	0.017598364843095383	767	0.767	0.2841574091596577
X	0.018205057495940733	12573	12.573	0.11313171734191409
X	0.01745107870810477	1982	1.982	0.206493416105383
X	0.01710678270133397	2640	2.64	0.1864324344405146
X	0.017191417819184533	1115	1.115	0.24889276708985322
X	0.017724703568067407	6075	6.075	0.1428929819848044
X	0.017629538951610724	2231	2.231	0.19918064213851194
X	0.017448287424695536	1679	1.679	0.21822309126596534
X	0.0173687627259471	4634	4.634	0.15533558272033535
X	0.017258177051256166	3300	3.3	0.17357759234407147
X	0.017116576850905837	926	0.926	0.2644043783936947
X	0.016830884769706723	628	0.628	0.29926029587053143
X	0.017060594203863026	1133	1.133	0.2469380879670127
X	0.018669608236289787	7955	7.955	0.1328918478431232
X	0.0174014791599636	2051	2.051	0.20395772940168802
X	0.018347247307065565	4150	4.15	0.1641248237619324
X	0.01748244981779541	8507	8.507	0.12713797381192457
X	0.017268842635602806	4729	4.729	0.15399193374699882
X	0.017734339519899004	2181	2.181	0.20108813721440436
X	0.01729056071276485	5141	5.141	0.14982599059201787
X	0.017485925772582962	2653	2.653	0.18749245404961687
X	0.01771758941914425	3490	3.49	0.17186722656265155
X	0.0169961396298532	3492	3.492	0.16946968352318925
X	0.017696324750214005	3410	3.41	0.17313155651981993
X	0.01723307466807597	1669	1.669	0.21775533851378798
X	0.01757359226670658	3500	3.5	0.17123695660733113
X	0.0174462516151976	5594	5.594	0.1461032544301397
X	0.016970506356892248	1800	1.8	0.21125521170788786
X	0.017167262168797586	3209	3.209	0.17489488469331205
X	0.017656944001225878	6420	6.42	0.14010710857749306
X	0.017503757879488862	6315	6.315	0.1404707757468347
X	0.017704339862800417	2728	2.728	0.1865284683044994
X	0.017154570219751992	669	0.669	0.2948840220217094
X	0.01766886281368692	3625	3.625	0.16955093768810292
X	0.017481704230966455	8386	8.386	0.1277447233309248
X	0.016963440397901507	6339	6.339	0.1388346048344038
X	0.01770565130563675	3161	3.161	0.1775943467552402
X	0.017649954835305393	2821	2.821	0.18426669117770883
X	0.01722929460743012	1326	1.326	0.2350938803855052
X	0.017538020131138227	2356	2.356	0.1952548181285199
X	0.017583210567164803	1071	1.071	0.2541574836858203
X	0.017789605802960864	3139	3.139	0.1782891863485245
X	0.016958215996138726	2112	2.112	0.20024518539365987
X	0.017608411926334458	5170	5.17	0.15045612837647282
X	0.017341127080497863	2064	2.064	0.2032930551573307
X	0.017728294871084488	7760	7.76	0.13170484405982047
X	0.017754016976961922	2252	2.252	0.1990258167765021
X	0.017113227521242842	3445	3.445	0.17062692576516783
X	0.01763525090493238	2819	2.819	0.1842590618760814
X	0.01773202987352566	3413	3.413	0.1731971422963236
X	0.018223690432228858	5124	5.124	0.15264259340475542
X	0.017414000759142036	5306	5.306	0.14860854124830314
X	0.017229969680372447	7539	7.539	0.13172157753421182
X	0.01771827753858021	3282	3.282	0.1754261401471815
X	0.017322458574337996	3258	3.258	0.17453645487603114
X	0.017589475702809606	1243	1.243	0.2418766371639047
X	0.017049148331917837	2301	2.301	0.19495244676132148
X	0.0175706059136276	1078	1.078	0.25354554990286926
X	0.01718403213076637	1421	1.421	0.22953222471084025
X	0.017424323911795433	5161	5.161	0.1500170745970228
X	0.01740061841209161	2346	2.346	0.1950198831197253
X	0.0174671756028244	2194	2.194	0.1996772963756458
X	0.01679787887385666	1060	1.06	0.2511787298696685
X	0.017406506963403002	6353	6.353	0.1399300290450199
X	0.01746635468804801	3135	3.135	0.17727802714049345
X	0.01829209348919301	2370	2.37	0.19762339482673347
X	0.01934391521001165	3195	3.195	0.18225991880458345
X	0.01745864091205956	1427	1.427	0.23042458808679486
X	0.017748501754564813	2010	2.01	0.20669114929518098
X	0.01730414544277296	3230	3.23	0.17497763600491192
X	0.017122601347246	937	0.937	0.2633965313788555
X	0.017402342847315264	2860	2.86	0.18256347587478408
X	0.017431162504271503	3452	3.452	0.17156098125182573
X	0.01776382856948996	4102	4.102	0.16299726069021273
X	0.01771155773713477	3908	3.908	0.16548834067714494
X	0.01750398400500047	1807	1.807	0.2131700817483601
X	0.0173886737418306	3765	3.765	0.16653307175716994
X	0.017801636196641036	4880	4.88	0.15393830482276494
X	0.0175792839283527	3889	3.889	0.16534373576551792
X	0.017064000372573915	2839	2.839	0.1818186741367434
X	0.01775690729763376	20107	20.107	0.0959415395408218
X	0.01782103847102434	41505	41.505	0.07544159524638622
X	0.017767958940315347	4957	4.957	0.15304044071711834
X	0.017450148228734474	7061	7.061	0.1352002940918297
X	0.017639490766594983	743	0.743	0.28740814822633654
X	0.017643276245570386	7256	7.256	0.13447059297744673
X	0.017561111978707345	12017	12.017	0.11347982315831386
X	0.017653849075658253	129236	129.236	0.05150135244540183
X	0.01776002298926799	2406	2.406	0.19470747891339305
X	0.017734336501487598	137397	137.397	0.0505373615828136
X	0.017468589284643926	25782	25.782	0.08783084815808247
