Thu Feb 2 03:05:42 EST 2023
| ID | GPU | MEM |
------------------
|  0 |  0% |  0% |
|  1 |  0% |  0% |
numbers of X: 43929661
numbers of Z: 31254
shape of features
(31254,)
shape of features
(31254,)
ZX	Vol	Parts	Cubes	Eps
Z	0.023974188170124342	31254	31.254	0.09154039188283526
X	0.021776244045009083	881	0.881	0.2912967832912536
X	0.02316218198742011	23535	23.535	0.0994691535637805
X	0.023861313727981472	4241	4.241	0.17785880066796053
X	0.022017950911681853	2646	2.646	0.20264179312700215
X	0.023114139276527088	68068	68.068	0.0697661748197639
X	0.02215626809071744	45973	45.973	0.07840274270191346
X	0.022119863637637446	77260	77.26	0.06590867494777405
X	0.022276194721462333	54723	54.723	0.07411231327359326
X	0.023564443732521815	11183	11.183	0.12820342345113211
X	0.022576958548426364	28714	28.714	0.0922976364634755
X	0.02211105161132228	8297	8.297	0.13864241117850398
X	0.022927060173108842	108060	108.06	0.05964322740151296
X	0.022957836713267503	8576	8.576	0.13885090991407853
X	0.022429983719745607	267855	267.855	0.04374983306407167
X	0.02215539440987872	42817	42.817	0.08028253616504379
X	0.023017934390343817	58957	58.957	0.07308759260205352
X	0.022347771659793344	80052	80.052	0.06535628323193925
X	0.022056770334918156	69858	69.858	0.06809395997145203
X	0.023846905643427726	195097	195.097	0.04962804271226695
X	0.02328870876364252	149631	149.631	0.053790792628012445
X	0.02195932858179607	12956	12.956	0.11922922086531812
X	0.023078207496556015	353364	353.364	0.04027107817763362
X	0.022244269778522053	18941	18.941	0.10550468613066323
X	0.022746701852507514	17950	17.95	0.10821430156466719
X	0.023362183175256068	90295	90.295	0.06372109655358502
X	0.022781253476345218	81942	81.942	0.06526650427384531
X	0.02374424389354806	53397	53.397	0.07632740468799164
X	0.021978482309327675	37508	37.508	0.08368056376346898
X	0.022070451122659304	41712	41.712	0.080881661756888
X	0.023873610925244444	1817673	1817.673	0.023593957087786912
X	0.021994362592763366	7727	7.727	0.14172076546765588
X	0.023910922392554494	500488	500.488	0.036285592608383155
X	0.0229885435875004	21942	21.942	0.1015652360946926
X	0.022217917988621307	10477	10.477	0.1284760389771542
X	0.022068367964442937	8117	8.117	0.13956983237713835
X	0.02268680339354508	95008	95.008	0.06203989353107273
X	0.023356687492547636	77850	77.85	0.06694490727669328
X	0.021427323471694817	1743	1.743	0.2307934679048279
X	0.02287241323634351	6648	6.648	0.15096409204934363
X	0.021947323835868608	2440	2.44	0.20796835109841955
X	0.02262702301528523	7019	7.019	0.14772388660824273
X	0.021155353256597512	2134	2.134	0.2148202852166738
