Thu Feb 2 05:54:34 EST 2023
| ID | GPU | MEM |
------------------
|  0 |  0% |  0% |
|  1 |  0% |  0% |
numbers of X: 85745554
numbers of Z: 35096
shape of features
(35096,)
shape of features
(35096,)
ZX	Vol	Parts	Cubes	Eps
Z	0.025009793245222383	35096	35.096	0.08932043442839276
X	0.022632449133059205	3091	3.091	0.1941828403457245
X	0.024396483966568187	39588	39.588	0.08509836698572439
X	0.024825851167845196	6651	6.651	0.15512164438015358
X	0.0227150085997831	16714	16.714	0.11076711283990424
X	0.023633599702376832	58053	58.053	0.07411425303283783
X	0.023015013308407786	119398	119.398	0.05776587986928311
X	0.022950604040181996	116113	116.113	0.05825113941507871
X	0.024516807676140017	98010	98.01	0.06300831181165162
X	0.024590566069994754	16616	16.616	0.11395866359123265
X	0.024593936127782073	47906	47.906	0.08007176043462966
X	0.02313698934934487	17086	17.086	0.11063405099406351
X	0.02454649025575332	159411	159.411	0.05359904346097904
X	0.02451408829745128	15278	15.278	0.11707111288060058
X	0.024063311424814902	598687	598.687	0.03425457008700297
X	0.023035859744358643	50626	50.626	0.07691486290445504
X	0.023522596378958652	183810	183.81	0.05039321198919771
X	0.023670960310827376	138279	138.279	0.05552474197225749
X	0.023025044566857906	62147	62.147	0.07182243145501126
X	0.02422378128362806	335753	335.753	0.041630089533216875
X	0.024077424523198047	245247	245.247	0.04613198146450867
X	0.022952479402752617	74997	74.997	0.06738996617029885
X	0.024919028099495196	605791	605.791	0.03451989194750543
X	0.023290008295743368	32102	32.102	0.08985574533866021
X	0.02413423019392505	51824	51.824	0.07751174366958175
X	0.0245453654626526	29571	29.571	0.09397979582813713
X	0.024567396621425774	136259	136.259	0.0564934347124264
X	0.0244992819853823	98104	98.104	0.06297316873862042
X	0.023135401441421125	13174	13.174	0.12064790737874441
X	0.02300728645166567	91867	91.867	0.06303309351439144
X	0.024985323930659824	2924462	2924.462	0.020443080271291488
X	0.02301226282325843	21288	21.288	0.10263011636165825
X	0.02489815629951238	1253324	1253.324	0.027083281116648716
X	0.024648698138408247	33151	33.151	0.09059393368642489
X	0.023023660980425603	21867	21.867	0.10173297048812444
X	0.02299221600754734	44824	44.824	0.08004915290379992
X	0.0245805307227304	350221	350.221	0.04124927856289614
X	0.02488170290469537	217091	217.091	0.04857499452641528
X	0.022885941650236684	3666	3.666	0.1841303768051439
X	0.023369271143406485	8574	8.574	0.13968632643098408
X	0.02279192712332481	8113	8.113	0.14110200681834373
X	0.02409771639952376	8573	8.573	0.14112837959182922
X	0.022542908543145623	4784	4.784	0.1676510429006528
X	0.02262272728021865	2269	2.269	0.21523033817506854
X	0.023134670996626902	7194	7.194	0.147603831619107
X	0.022855335086960787	2420	2.42	0.21137684384940955
X	0.023015012731016995	2890	2.89	0.19969680915268487
X	0.022873160030510233	11496	11.496	0.12577465588665987
X	0.0238278132227568	9521	9.521	0.1357689754381158
X	0.02283024308440514	4765	4.765	0.16858381474006062
X	0.02295515723499706	31018	31.018	0.09045283018517974
X	0.024341823835126813	33006	33.006	0.09034831830338248
X	0.023783455728166335	4228	4.228	0.17784704749268362
X	0.02297409476929158	9449	9.449	0.13446755855966444
X	0.023294370161662515	5718	5.718	0.15971128617495786
X	0.023952303514790725	12796	12.796	0.12324170130222277
X	0.022863324325047334	12057	12.057	0.12377512455583044
X	0.02294817995612505	5346	5.346	0.16251985673904767
X	0.022863650593080966	8557	8.557	0.13876331961028154
X	0.02268926247687982	6794	6.794	0.14947375527026002
X	0.02250092467990297	5464	5.464	0.16028635702546684
X	0.02385499671551825	10050	10.05	0.13339445175580733
X	0.022840190147457293	4052	4.052	0.17796861725206004
X	0.02487800125343702	20725	20.725	0.10627725175657278
X	0.022894873921260883	19268	19.268	0.10591737434282499
X	0.02278569698200016	5770	5.77	0.15806249567500755
X	0.02282954251083375	6389	6.389	0.15288144308911802
X	0.02295464205810279	6632	6.632	0.15126623674110964
X	0.022767559022848532	17395	17.395	0.10938657205692967
X	0.023822281468817992	11245	11.245	0.12843240958200008
X	0.022746689831523247	4977	4.977	0.16595239392840372
X	0.022564712533859065	8634	8.634	0.1377439671623849
X	0.02281021505561844	7539	7.539	0.1446344934278169
