Fri Feb 3 04:38:25 EST 2023
| ID | GPU | MEM |
------------------
|  0 | 18% |  0% |
|  1 |  0% |  0% |
numbers of X: 26879655
numbers of Z: 14355
shape of features
(14355,)
shape of features
(14355,)
ZX	Vol	Parts	Cubes	Eps
Z	0.011952968561915479	14355	14.355	0.09407860306947827
X	0.010278411677493339	1074	1.074	0.21231169081664492
X	0.01029013028624791	17065	17.065	0.0844834279001886
X	0.010829544885384457	2117	2.117	0.17230443229241965
X	0.010292405044016455	1789	1.789	0.17918521665099177
X	0.01135422645563711	41343	41.343	0.0650007730122283
X	0.010986557723887905	35135	35.135	0.06787459137050667
X	0.01034285177701528	29978	29.978	0.07013678943974419
X	0.010964333210688031	37059	37.059	0.06663404479342085
X	0.01098220563920253	8096	8.096	0.11069797863906802
X	0.010938983805367938	22110	22.11	0.07909142717053147
X	0.010347981646609257	4012	4.012	0.13714024104666167
X	0.010206364302316806	59179	59.179	0.055663154478201096
X	0.010349833075498954	7800	7.8	0.1098869824438057
X	0.01083391663447012	153822	153.822	0.0412973652914638
X	0.010360975932829664	16016	16.016	0.08648660876018216
X	0.010935449555056626	33263	33.263	0.06901737042670286
X	0.010641439984462254	29456	29.456	0.07122113268159558
X	0.011054659211351191	21903	21.903	0.07961848666873426
X	0.01042994234628654	191112	191.112	0.03793132237101365
X	0.011064768526177287	72039	72.039	0.05355395538607699
X	0.010316689963320936	10640	10.64	0.0989766879898413
X	0.011710246900730317	285337	285.337	0.034493398596501856
X	0.010947302182311668	9594	9.594	0.10449667313982809
X	0.010868613867319998	8400	8.4	0.10896782719780922
X	0.010721048032128798	7508	7.508	0.11260845309337522
X	0.01066535763501618	52498	52.498	0.05878649331971951
X	0.010942869868722192	33371	33.371	0.06895842566521755
X	0.010321358382457816	7146	7.146	0.11303803918118803
X	0.010345139550563796	43852	43.852	0.06178963778196125
X	0.011904514551103926	1596976	1596.976	0.019534595986091415
X	0.010376643265874156	4271	4.271	0.134433995065944
X	0.011105568021150706	252704	252.704	0.035289287239327755
X	0.011002860933899135	14941	14.941	0.09030434620471804
X	0.010348432250761281	6306	6.306	0.1179524224883492
X	0.010357741468897197	12379	12.379	0.09423086286462783
X	0.01101988509644157	58182	58.182	0.05742876453386325
X	0.011001601832278985	66116	66.116	0.05500258708712936
X	0.010228312516979882	852	0.852	0.2289750336024725
X	0.010270862492597541	3247	3.247	0.1467939675476967
X	0.010128498368874306	1643	1.643	0.18335911312396436
X	0.010283110472854018	3034	3.034	0.1502114280757287
X	0.009807155062007699	558	0.558	0.259997764803797
X	0.010043436068890963	569	0.569	0.2603694451953578
X	0.009991508162513709	1444	1.444	0.1905554106817367
X	0.010349933266012546	815	0.815	0.2333063970637188
X	0.010255718564193779	824	0.824	0.23174638105209103
X	0.010974770805153574	5206	5.206	0.12822235974414659
X	0.010222795922604895	2816	2.816	0.15369002463201767
X	0.010263042998373132	2911	2.911	0.15219883015584373
X	0.010331741376501004	6073	6.073	0.1193777571270285
X	0.010339336359382972	9841	9.841	0.10166024314165945
X	0.010082926054616624	1145	1.145	0.20650331693083154
X	0.010215270481302144	3243	3.243	0.14658886219665943
X	0.010126732748889098	1537	1.537	0.18747002059819404
X	0.010852815224337922	5802	5.802	0.12321253553867342
X	0.01011556660430794	4270	4.27	0.1333073554509719
X	0.010065134788290013	1336	1.336	0.1960368485849822
X	0.010286494649706103	2572	2.572	0.15873236248298225
X	0.010287792058723115	2042	2.042	0.1714307847759451
X	0.010196084938700058	1992	1.992	0.17233812761859965
X	0.010364026641863266	8626	8.626	0.10630973175007127
X	0.010272593607935587	1432	1.432	0.19286156939766252
X	0.01091019604783288	11284	11.284	0.09888334724135128
X	0.010325103615279236	4798	4.798	0.1291054943617652
X	0.010323027324196937	2541	2.541	0.15956371432977015
X	0.01001210668116564	1746	1.746	0.1789893027944126
X	0.010270723705359306	1693	1.693	0.18238174335790017
X	0.010220986890424683	3053	3.053	0.1495966984803566
X	0.010298135362238591	3146	3.146	0.14847954427941573
X	0.010160718803115372	1852	1.852	0.17637125966722134
X	0.010423134755411905	4992	4.992	0.12781287148835138
X	0.010216651152648821	2971	2.971	0.15093917466865897
